nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
400,2,0.81,"[<ptreeopt.tree.PTree object at 0x15552820e670>
 <ptreeopt.tree.PTree object at 0x15552820e3d0>
 <ptreeopt.tree.PTree object at 0x15552820e070>]",7,1,10,3,10
500,2,0.81,"[<ptreeopt.tree.PTree object at 0x15552820e670>
 <ptreeopt.tree.PTree object at 0x15552820e3d0>
 <ptreeopt.tree.PTree object at 0x15552820e070>]",7,1,10,3,10
600,3,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
700,4,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
800,4,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
900,5,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1000,5,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1100,6,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1200,6,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1300,7,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1400,8,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
