nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
2000,93,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2100,98,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2200,102,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2300,107,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2400,111,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2500,116,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2600,121,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2700,126,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2800,131,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
2900,136,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
3000,141,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
3100,145,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
3200,150,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
3300,154,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
